******************************浮点输入的LSH测试*******************************

table_num key_size  scale   精度    查询用时ms    索引用时ms    索引内存MB    
150       40        3.00    0.418   19            1808          10.26         
150       40        4.00    0.506   22            1844          10.32         
150       40        5.00    0.529   23            1814          10.18         
150       40        6.00    0.596   27            1830          10.31         
150       40        7.00    0.646   30            1830          10.39         
150       40        8.00    0.687   33            1829          10.42         
150       40        10.00   0.736   37            1807          10.28         
150       40        20.00   0.924   71            1814          10.35         
150       50        2.00    0.343   24            2229          10.82         
150       50        3.00    0.430   26            2207          10.78         
150       50        4.00    0.500   28            2205          10.63         
150       50        5.00    0.554   31            2219          10.84         
150       50        6.00    0.618   39            2205          10.90         
150       50        7.00    0.638   38            2234          10.79         
150       50        8.00    0.686   40            2218          10.77         
150       50        10.00   0.763   45            2210          10.81         
150       50        20.00   0.936   78            2238          10.83         
150       60        2.00    0.340   30            2741          11.28         
150       60        3.00    0.447   34            2738          11.24         
150       60        4.00    0.530   38            2769          11.40         
150       60        5.00    0.551   38            2752          11.23         
150       60        6.00    0.559   42            2738          11.27         
150       60        7.00    0.630   43            2736          11.31         
150       60        8.00    0.704   48            2744          11.27         
150       60        10.00   0.767   53            2745          11.25         
150       60        20.00   0.918   82            2763          11.27         
200       18        2.00    0.221   10            1874          12.73         
200       18        3.00    0.331   11            1875          12.76         
200       18        4.00    0.396   13            1860          12.83         
200       18        5.00    0.472   16            1872          12.96         
200       18        6.00    0.491   21            1918          12.82         
200       18        7.00    0.563   19            1866          12.80         
200       18        8.00    0.619   25            1898          12.91         
200       18        10.00   0.605   25            1932          12.82         
200       18        20.00   0.915   65            1926          12.77         
200       20        2.00    0.231   10            1991          12.65         
200       20        3.00    0.339   15            1926          12.79         
200       20        4.00    0.424   49            2082          12.92         
200       20        5.00    0.449   15            1901          12.71         
200       20        6.00    0.507   18            2248          12.86         
200       20        7.00    0.586   21            2093          12.81         
200       20        8.00    0.613   40            1906          12.95         
200       20        10.00   0.710   28            1983          12.83         
200       20        20.00   0.918   80            2005          12.81         
200       25        2.00    0.271   10            2000          12.88         
200       25        3.00    0.347   13            2032          12.90         
200       25        4.00    0.486   22            1977          13.08         
200       25        5.00    0.524   18            2027          12.93         
200       25        6.00    0.564   23            1980          12.88         
200       25        7.00    0.610   21            1980          12.82         
200       25        8.00    0.630   30            2037          12.77         
200       25        10.00   0.719   30            1996          13.01         
200       25        20.00   0.907   66            1959          12.94         
200       30        2.00    0.340   13            1988          13.10         
200       30        3.00    0.395   20            2049          13.02         
200       30        4.00    0.488   17            2057          13.11         
200       30        5.00    0.528   27            2013          13.08         
200       30        6.00    0.598   24            2054          13.01         
200       30        7.00    0.625   27            2154          13.04         
200       30        8.00    0.656   28            2091          13.23         
200       30        10.00   0.768   33            2214          13.16         
200       30        20.00   0.934   65            2054          13.04         
200       40        2.00    0.358   22            2347          13.53         
200       40        3.00    0.407   19            2304          13.48         
200       40        4.00    0.506   27            2340          13.46         
200       40        5.00    0.557   28            2337          13.42         
200       40        6.00    0.595   39            2376          13.55         
200       40        7.00    0.650   35            2330          13.60         
200       40        8.00    0.709   33            2300          13.51         
200       40        10.00   0.721   35            2277          13.33         
200       40        20.00   0.924   97            2410          13.43         
200       50        2.00    0.339   28            2752          13.98         
200       50        3.00    0.445   27            2840          13.95         
200       50        4.00    0.512   47            2885          13.88         
200       50        5.00    0.549   35            2868          14.00         
200       50        6.00    0.594   49            2973          14.09         
200       50        7.00    0.629   66            3421          14.05         
200       50        8.00    0.682   39            3035          13.95         
200       50        10.00   0.766   50            2931          14.00         
200       50        20.00   0.929   77            2758          13.98         
200       60        2.00    0.358   33            3248          14.39         
200       60        3.00    0.418   39            3252          14.50         
200       60        4.00    0.504   44            3311          14.41         
200       60        5.00    0.535   69            3380          14.40         
200       60        6.00    0.616   47            3378          14.48         
200       60        7.00    0.650   45            3295          14.47         
200       60        8.00    0.701   51            3343          14.50         
200       60        10.00   0.774   54            3260          14.55         
200       60        20.00   0.925   92            3230          14.49         

******************************整数输入的LSH测试*******************************

table_num key_size  scale   精度    查询用时ms    索引用时ms    索引内存MB    
20        18        10.00   0.040   20            183           5.67          
20        18        30.00   0.043   30            181           5.67          
20        18        50.00   0.043   23            198           5.67          
20        18        100.00  0.043   44            202           5.67          
20        18        200.00  0.041   21            231           5.83          
20        18        300.00  0.041   21            193           5.83          
20        20        10.00   0.034   18            205           5.89          
20        20        30.00   0.032   25            201           6.04          
20        20        50.00   0.032   19            212           6.04          
20        20        100.00  0.032   18            191           6.04          
20        20        200.00  0.043   24            197           5.80          
20        20        300.00  0.043   24            186           5.80          
20        22        10.00   0.039   24            193           5.99          
20        22        30.00   0.032   17            215           6.26          
20        22        50.00   0.032   22            294           6.26          
20        22        100.00  0.032   17            213           6.26          
20        22        200.00  0.022   11            224           6.45          
20        22        300.00  0.022   13            236           6.45          
20        25        10.00   0.019   11            247           6.96          
20        25        30.00   0.045   27            228           6.11          
20        25        50.00   0.046   41            217           6.11          
20        25        100.00  0.046   27            228           6.11          
20        25        200.00  0.030   18            236           6.51          
20        25        300.00  0.030   21            233           6.51          
20        28        10.00   0.019   11            289           7.09          
20        28        30.00   0.027   15            242           6.82          
20        28        50.00   0.027   17            244           6.82          
20        28        100.00  0.027   15            265           6.82          
20        28        200.00  0.032   22            260           6.86          
20        28        300.00  0.032   16            257           6.86          
20        30        10.00   0.017   10            280           7.87          
20        30        30.00   0.017   9             264           7.87          
20        30        50.00   0.033   22            277           7.74          
20        30        100.00  0.033   21            269           7.74          
20        30        200.00  0.033   22            265           7.74          
20        30        300.00  0.014   9             269           7.63          
20        35        10.00   0.012   8             292           9.15          
20        35        30.00   0.009   7             311           8.90          
20        35        50.00   0.009   7             314           8.90          
20        35        100.00  0.007   7             312           9.06          
20        35        200.00  0.007   9             290           9.06          
20        35        300.00  0.010   9             289           8.71          
20        40        10.00   0.001   4             315           10.07         
20        40        30.00   0.002   4             326           10.22         
20        40        50.00   0.002   8             335           10.22         
20        40        100.00  0.002   4             374           10.04         
20        40        200.00  0.002   4             339           10.04         
20        40        300.00  0.002   4             308           10.06         
20        50        10.00   0.001   6             387           10.80         
20        50        30.00   0.001   4             433           10.80         
20        50        50.00   0.000   6             435           11.01         
20        50        100.00  0.000   3             389           10.92         
20        50        200.00  0.000   3             363           10.92         
20        50        300.00  0.001   7             380           10.95         
20        60        10.00   0.001   4             343           10.83         
20        60        30.00   0.001   4             360           10.83         
20        60        50.00   0.001   3             334           10.50         
20        60        100.00  0.001   5             347           10.50         
20        60        200.00  0.000   3             358           10.78         
20        60        300.00  0.002   6             341           10.39         
50        18        10.00   0.056   35            499           14.39         
50        18        30.00   0.089   47            490           14.98         
50        18        50.00   0.095   53            497           14.75         
50        18        100.00  0.095   52            490           14.75         
50        18        200.00  0.071   38            480           14.90         
50        18        300.00  0.078   46            521           15.12         
50        20        10.00   0.057   27            543           15.19         
50        20        30.00   0.101   67            504           14.80         
50        20        50.00   0.103   62            502           14.51         
50        20        100.00  0.096   54            487           14.33         
50        20        200.00  0.096   54            497           14.33         
50        20        300.00  0.108   61            482           14.52         
50        22        10.00   0.054   31            531           14.90         
50        22        30.00   0.098   57            521           14.90         
50        22        50.00   0.093   46            495           14.92         
50        22        100.00  0.102   52            480           14.80         
50        22        200.00  0.105   58            513           14.64         
50        22        300.00  0.105   60            462           14.64         
50        25        10.00   0.051   26            540           15.19         
50        25        30.00   0.082   42            559           15.60         
